!61fe -> 61co, beta-decay
!Q=-4.489 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -2.573000              -8.196290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -2.573000              -8.196290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -2.573000              -8.196290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -2.564000              -8.184290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -2.496000              -8.094290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -2.413000              -7.984290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -2.315000              -7.859290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -2.251000              -7.776290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -2.136000              -7.615290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -1.719000              -7.033290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.840000              -5.953290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.170000              -3.679290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   0.021000               -5.372896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -2.573000              -8.196290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -2.573000              -8.196290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -2.573000              -8.196290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -2.564000              -8.184290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -2.496000              -8.094290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -2.413000              -7.984290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -2.315000              -7.859290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -2.251000              -7.776290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -2.136000              -7.615290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -1.719000              -7.033290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.840000              -5.953290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.170000              -3.679290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   0.021000               -5.372896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -2.573000              -8.197290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -2.573000              -8.196290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -2.573000              -8.196290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -2.564000              -8.184290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -2.496000              -8.094290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -2.413000              -7.984290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -2.315000              -7.859290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -2.251000              -7.776290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -2.136000              -7.615290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -1.719000              -7.033290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -0.840000              -5.953290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   -0.170000              -3.679290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   0.021000               -5.372896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -2.574000              -8.198290e+00         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -2.574000              -8.197290e+00         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -2.573000              -8.197290e+00         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -2.564000              -8.185290e+00         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -2.497000              -8.094290e+00         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -2.413000              -7.984290e+00         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -2.315000              -7.859290e+00         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -2.251000              -7.776290e+00         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -2.136000              -7.615290e+00         -100.00
