!56co -> 56fe, e- capture
!Q=-4.055 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -9.845000              -1.359829e+01         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -10.330000             -1.360129e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -10.463000             -1.357029e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -10.543000             -1.269229e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -9.823000              -1.190729e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -8.389000              -1.158929e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -7.035000              -1.124329e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -6.195000              -1.068229e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.039000              -9.477290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -3.446000              -8.079290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.241000              -6.190290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.752000               -2.941290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.567000               3.947104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -8.866000              -1.357129e+01         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -9.331000              -1.359129e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -9.463000              -1.356429e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -9.543000              -1.269129e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -9.410000              -1.190729e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -8.367000              -1.158929e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -7.034000              -1.124329e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -6.195000              -1.068229e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.039000              -9.477290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -3.446000              -8.079290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.241000              -6.190290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.752000               -2.941290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.567000               3.947104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -7.995000              -1.341529e+01         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -8.337000              -1.350629e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -8.465000              -1.350229e+01         -100.00
