!58mn -> 58fe, beta-decay
!Q=-55.8323 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -5.846290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -5.890290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -6.047290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -88.202000       -6.195290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -52.934000       -6.245290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -37.641000       -6.251290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -25.487000       -6.239290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -19.276000       -6.225290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -12.917000       -6.192290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -7.630976       -5.866290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.051293       -4.694290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.563514       -2.549290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.999849        0.666710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -5.846290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -5.890290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -6.047290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -87.202000       -6.195290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -52.521000       -6.245290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -37.619000       -6.251290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -25.486000       -6.239290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -19.275000       -6.225290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -12.917000       -6.192290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -7.630976       -5.866290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.051293       -4.694290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.563514       -2.549290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.999849        0.666710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -5.846290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -5.890290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -6.047290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -86.199000       -6.195290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -51.573000       -6.245290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -37.413000       -6.251290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -25.471000       -6.239290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -19.272000       -6.225290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -12.916000       -6.192290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -7.630976       -5.866290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -3.051293       -4.694290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.563514       -2.549290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.999849        0.666710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -5.846290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -5.890290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -6.047290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -85.181000       -6.195290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -50.566000       -6.245290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -36.591000       -6.251290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -25.330000       -6.239290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -19.241000       -6.225290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -12.911000       -6.192290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -7.629977       -5.866290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -3.051293       -4.694290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.563514       -2.549290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.999849        0.666710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -5.847290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -5.891290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -6.048290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -84.013000       -6.196290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -49.500000       -6.246290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -35.559000       -6.252290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -24.596000       -6.240290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -18.952000       -6.225290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -12.857000       -6.193290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -7.621977       -5.866290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -3.050300       -4.695290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.563514       -2.549290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.999849        0.666710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970       -5.852290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970       -5.896290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -99.697970       -6.053290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -81.740000       -6.201290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -47.950000       -6.252290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -34.256000       -6.258290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -23.458000       -6.246290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00      -17.986000       -6.231290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00      -12.415000       -6.197290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -7.538981       -5.868290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -3.041355       -4.696290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        1.563514       -2.549290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.999849        0.666710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00      -99.697970       -5.885290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00      -99.697970       -5.927290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00      -99.697970       -6.085290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00      -75.417000       -6.237290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00      -44.267000       -6.291290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00      -31.595000       -6.300290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00      -21.549000       -6.289290             -100.00  
